held_out_study,n_bootstrap_replicates,repetitions,discard_threshold,identified
StudyA,2000.0,2000,1000,True
StudyB,2000.0,2000,1000,True
StudyD,2000.0,2000,1000,True
StudyE,1999.0,2000,1000,True
StudyF,2000.0,2000,1000,True
StudyG,2000.0,2000,1000,True
StudyH,2000.0,2000,1000,True
StudyI,2000.0,2000,1000,True
StudyJ,2000.0,2000,1000,True
StudyK,1997.0,2000,1000,True
StudyL,2000.0,2000,1000,True
StudyM,2000.0,2000,1000,True
StudyN,2000.0,2000,1000,True
StudyO,2000.0,2000,1000,True
StudyQ,2000.0,2000,1000,True
StudyR,2000.0,2000,1000,True
StudyS1,843.0,2000,1000,False
StudyS2,2000.0,2000,1000,True
